key_id,en,fr,name_toflit_simplification,id_toflit,datasprint1
00000524,Ashes,Cendre,cendre,cendre~product_simplification,False
,,,cendre ???,cendre_???~product_simplification,False
00000542,Lime,Chaux,chaux,chaux~product_simplification,True
00000546,Bricks,Briques,briques,briques~product_simplification,False
,,,brique,brique~product_simplification,False
00000548,Fodder,Fourrage,fourrages,fourrages~product_simplification,False
00000553,Building stone,Pierre de taille,pierres de taille,pierres_de_taille~product_simplification,False
,,,pierres de taille à effiler,pierres_de_taille_à_effiler~product_simplification,False
,,,pierres et grès taillés,pierres_et_grès_taillés~product_simplification,False
00000566,Iron (scraps),Vieux Fer,fer-blanc vieux,fer-blanc_vieux~product_simplification,False
,,,canons de fer vieux,canons_de_fer_vieux~product_simplification,False
,,,clous de fer vieux,clous_de_fer_vieux~product_simplification,False
,,,fer vieux ouvré,fer_vieux_ouvré~product_simplification,False
,,,fer vieux,fer_vieux~product_simplification,True
00000580,Rope (wasted),Vieux cordages,étoupes de vieux cordages,étoupes_de_vieux_cordages~product_simplification,False
,,,cordage de vieux,cordage_de_vieux~product_simplification,False
,,,cordage vieux,cordage_vieux~product_simplification,False
,,,cordage de chanvre vieux,cordage_de_chanvre_vieux~product_simplification,False
00000581,Gunpowder,Poudre à canon,poudre à canons,poudre_à_canons~product_simplification,False
,,,poudre de canons,poudre_de_canons~product_simplification,False
,,,poudre à canons de guerre,poudre_à_canons_de_guerre~product_simplification,False
,,,poudre à canons et à tirer,poudre_à_canons_et_à_tirer~product_simplification,False
00000589,Bottle,Bouteilles ,bouteilles,bouteilles~product_simplification,False
00000590,Cannon,Canons,canons,canons~product_simplification,False
00000601,Firewood (heating),Bois de chauffage,bois pour brûler,bois_pour_brûler~product_simplification,False
00000606,Ashes (seaweed),Cendre de varech,cendres de varech,cendres_de_varech~product_simplification,False
,,,cendre de varech,cendre_de_varech~product_simplification,False
00000616,Hoop wood,Feuillard,feuillard,feuillard~product_simplification,False
,,,feuillards,feuillards~product_simplification,False
00000617,Plaster,Plâtre,plâtre,plâtre~product_simplification,False
00000621,Stone tiles,Carreaux,carreaux ???,carreaux_???~product_simplification,False
,,,carreaux,carreaux~product_simplification,False
00000630,Stone,Pierres,pierres ???,pierres_???~product_simplification,False
,,,pierres à,pierres_à~product_simplification,False
,,,pierres en ???,pierres_en_???~product_simplification,False
,,,pierres,pierres~product_simplification,True
00000634,Earthenware,Poterie,poterie,poterie~product_simplification,False
00001275,Faience,Faïence,faïence,faïence~product_simplification,False
,,,faïence en ???,faïence_en_???~product_simplification,False
00001277,Walnuts,Noix,noix,noix~product_simplification,True
00001278,Lentils,Lentilles,lentilles,lentilles~product_simplification,False
00001279,Skin (oxen),Peaux de bœuf,peaux de bœuf en poil,peaux_de_bœuf_en_poil~product_simplification,False
,,,peaux de bœuf tannées,peaux_de_bœuf_tannées~product_simplification,False
,,,peaux de bœuf,peaux_de_bœuf~product_simplification,False
00001280,Mixed breverage (generic),Vinatérie,vinaterie,vinaterie~product_simplification,False
00001281,Dry fish,Poisson sec,poisson sec,poisson_sec~product_simplification,False
,,,poisson de mer sec,poisson_de_mer_sec~product_simplification,False
00001283,Slate,Ardoises,ardoises,ardoises~product_simplification,False
,,,ardoise,ardoise~product_simplification,False
00001284,Salted food products,Salaisons,salaisons,salaisons~product_simplification,False
00001285,Broue earth [for glassmaking],Terre de Broue [pour verrerie],terre pour verrerie,terre_pour_verrerie~product_simplification,False
,,,terre de broue,terre_de_broue~product_simplification,False
,,,terre de verrerie,terre_de_verrerie~product_simplification,False
00001288,Millstone,Meule de moulin,meules pour moulins petites,meules_pour_moulins_petites~product_simplification,False
,,,meules pour moulin,meules_pour_moulin~product_simplification,False
,,,meules pour moulins,meules_pour_moulins~product_simplification,False
,,,meules pour moulins grosses,meules_pour_moulins_grosses~product_simplification,False
00001289,Windmill blade,Verge de moulin,verges à moulins,verges_à_moulins~product_simplification,True
00001290,Mussel and coastal fishing,Pêche des moules et du poisson frais,outils de pêche au poisson frais,outils_de_pêche_au_poisson_frais~product_simplification,False
,,,vivres pour la pêche au poisson frais,vivres_pour_la_pêche_au_poisson_frais~product_simplification,False
,,,pêche au poisson frais,pêche_au_poisson_frais~product_simplification,False
,,,filets à pêcher le poisson frai,filets_à_pêcher_le_poisson_frai~product_simplification,False
00001291,Grass pea,Vesces,vesces,vesces~product_simplification,False
00001292,Manure,Fumier,fumier,fumier~product_simplification,False
00001293,Sailor's belongings,Hardes de mer,hardes de gens de mer,hardes_de_gens_de_mer~product_simplification,False
00001294,Personal Cloth,Hardes,hardes,hardes~product_simplification,False
00001295,Tow,Etoupe,étoupes,étoupes~product_simplification,False
00001296,Slave trade cargo,Marchandises pour la traite négrière,marchandises pour la traite,marchandises_pour_la_traite~product_simplification,False
00001297,Glass (broken),Verre cassé,verres cassés en groisil,verres_cassés_en_groisil~product_simplification,False
,,,verres cassés,verres_cassés~product_simplification,False
00001298,Peat,Turbe,turbit,turbit~product_simplification,False
00001300,Ship planking,Bordage,bordage,bordage~product_simplification,False
00001301,Cherry,Cérises,cerises,cerises~product_simplification,False
