name_orthographic,lowercase_name,typographic_cleaned_name
cuivre rouge en plaques,cuivre rouge en plaques,cuivre rouge en plaques
cuivre rouge en plates,cuivre rouge en plates,cuivre rouge en plates
cuivre rouge neuf,cuivre rouge neuf,cuivre rouge neuf
cuivre à monnaies ouvré,cuivre à monnaies ouvré,cuivre a monnaies ouvre
cuivre à monnaies,cuivre à monnaies,cuivre a monnaies
cuivre satin,cuivre satin,cuivre satin
cuivre en batterie laminé,cuivre en batterie laminé,cuivre en batterie lamine
cuivre en fourrure et rosette,cuivre en fourrure et rosette,cuivre en fourrure et rosette
cuivre jaune en fourrure,cuivre jaune en fourrure,cuivre jaune en fourrure
cuivre sur poil,cuivre sur poil,cuivre sur poil
cuivre travaillé,cuivre travaillé,cuivre travaille
culottes de panne ciselée,culottes de panne ciselée,culottes de panne ciselee
culottes de peau d'élan,culottes de peau d'élan,culottes de peau d'elan
culotte en chemise de toile à nègre,culotte en chemise de toile à nègre,culotte en chemise de toile a negre
culotterie,culotterie,culotterie
culottes à nègre,culottes à nègre,culottes a negre
culottes de chamois garnies de boutons d'argent,culottes de chamois garnies de boutons d'argent,culottes de chamois garnies de boutons d'argent
culottes de coutil,culottes de coutil,culottes de coutil
culottes de drap,culottes de drap,culottes de drap
culottes de fil,culottes de fil,culottes de fil
culottes de laine,culottes de laine,culottes de laine
culottes de laine tricotées,culottes de laine tricotées,culottes de laine tricotees
culottes de siamoise,culottes de siamoise,culottes de siamoise
culottes de soie,culottes de soie,culottes de soie
culottes d'étamine,culottes d'étamine,culottes d'etamine
culottes de velours,culottes de velours,culottes de velours
culottes de velours de gueux,culottes de velours de gueux,culottes de velours de gueux
lunettes de verre,lunettes de verre,lunettes de verre
cuny,cuny,cuny
curcuma en poudre,curcuma en poudre,curcuma en poudre
curcuma en racine des entrepôts,curcuma en racine des entrepôts,curcuma en racine des entrepots
curcuma ou terra merita,curcuma ou terra merita,curcuma ou terra merita
curiosité coquillage,curiosité coquillage,curiosite coquillage
curlas,curlas,curlas
curous,curous,curous
curtas,curtas,curtas
cusco grains,cusco grains,cusco grains
cuscutes luzerne,cuscutes luzerne,cuscutes luzerne
custres,custres,custres
cuveaux,cuveaux,cuveaux
cuve à vin,cuve à vin,cuve a vin
cuirs tannées forts,cuirs tannées forts,cuirs tannees forts
cuvette de fer-blanc,cuvette de fer-blanc,cuvette de fer-blanc
cuvette de faïence,cuvette de faïence,cuvette de faience
cuvette de grès,cuvette de grès,cuvette de gres
dattes et pistaches,dattes et pistaches,dattes et pistaches
dais ou faux,dais ou faux,dais ou faux
dais,dais,dais
dais pour église,dais pour église,dais pour eglise
dalles,dalles,dalles
damas,damas,damas
damas brodé,damas brodé,damas brode
damas commun,damas commun,damas commun
damas de 20 aunes,damas de 20 aunes,damas de 20 aunes
damas de deux couleurs,damas de deux couleurs,damas de deux couleurs
damas de faux,damas de faux,damas de faux
damas de fil,damas de fil,damas de fil
damas de Gênes cramoisi,damas de gênes cramoisi,damas de genes cramoisi
damas de la Chine,damas de la chine,damas de la chine
damas de lin,damas de lin,damas de lin
damas de Luques,damas de luques,damas de luques
damas de Pékin,damas de pékin,damas de pekin
damas des deux couleurs,damas des deux couleurs,damas des deux couleurs
damas des Indes,damas des indes,damas des indes
damas de soie,damas de soie,damas de soie
damas divers,damas divers,damas divers
damas fil et coton,damas fil et coton,damas fil et coton
damassin,damassin,damassin
damas jaune,damas jaune,damas jaune
damas noir,damas noir,damas noir
damas pour meubles,damas pour meubles,damas pour meubles
damasquette,damasquette,damasquette
damasquin,damasquin,damasquin
damas rayé,damas rayé,damas raye
damas vert,damas vert,damas vert
damas violet,damas violet,damas violet
dame-jeannes de verre de 4 pots,dame-jeannes de verre de 4 pots,dame-jeannes de verre de 4 pots
dame-jeannes en verre,dame-jeannes en verre,dame-jeannes en verre
dame-jeannes et vides,dame-jeannes et vides,dame-jeannes et vides
dame-jeannes non clissées,dame-jeannes non clissées,dame-jeannes non clissees
Dame-jeannes garnies d'osier,dame-jeannes garnies d'osier,dame-jeannes garnies d'osier
damoiselle,damoiselle,damoiselle
damoiselle de bois,damoiselle de bois,damoiselle de bois
??? d'Anjou et de Touraine,??? d'anjou et de touraine,??? d'anjou et de touraine
denrées diverses réunies,denrées diverses réunies,denrees diverses reunies
dentelle de fer,dentelle de fer,dentelle de fer
... d'argent,... d'argent,... d'argent
daubes,daubes,daubes
dauphine aune,dauphine aune,dauphine aune
??? de boutard,??? de boutard,??? de boutard
débris de vaisseaux et vieux ouvrages de charpente,débris de vaisseaux et vieux ouvrages de charpente,debris de vaisseaux et vieux ouvrages de charpente
déchets et débris bourre de laine entières lanice et tontice,déchets et débris bourre de laine entières lanice et tontice,dechets et debris bourre de laine entieres lanice et tontice
déchets et débris tourteaux de graine oléagineuse,déchets et débris tourteaux de graine oléagineuse,dechets et debris tourteaux de graine oleagineuse
décorations pour carrosses,décorations pour carrosses,decorations pour carrosses
??? de fer,??? de fer,??? de fer
de haut,de haut,de haut
delimineas,delimineas,delimineas
de liqueurs,de liqueurs,de liqueurs
demi-barriques cerclées de fer,demi-barriques cerclées de fer,demi-barriques cerclees de fer
demi-cuirs de bœuf tannés,demi-cuirs de bœuf tannés,demi-cuirs de boeuf tannes
demi Guinée,demi guinée,demi guinee
demi Guinée bleue,demi guinée bleue,demi guinee bleue
demille,demille,demille
demi-planches de Prusse,demi-planches de prusse,demi-planches de prusse
demi-planche de sapin,demi-planche de sapin,demi-planche de sapin
"demi-planches de sapin de 3 à 5 pieds de long et de 1,25 pouce d'épaisseur","demi-planches de sapin de 3 à 5 pieds de long et de 1,25 pouce d'épaisseur","demi-planches de sapin de 3 a 5 pieds de long et de 1,25 pouce d'epaisseur"
demi-planches de sapin de 3 à 4 pieds de long et de 1 pouce d'épaisseur,demi-planches de sapin de 3 à 4 pieds de long et de 1 pouce d'épaisseur,demi-planches de sapin de 3 a 4 pieds de long et de 1 pouce d'epaisseur
"demi-planches de sapin de 3 à 5,5 pieds de long et de 1,5 à 1,35 pouce d'épaisseur","demi-planches de sapin de 3 à 5,5 pieds de long et de 1,5 à 1,35 pouce d'épaisseur","demi-planches de sapin de 3 a 5,5 pieds de long et de 1,5 a 1,35 pouce d'epaisseur"
demi-soucis,demi-soucis,demi-soucis
demoiselle de bois,demoiselle de bois,demoiselle de bois
demoiselle de 25 pieds,demoiselle de 25 pieds,demoiselle de 25 pieds
??? de morue,??? de morue,??? de morue
??? de nacre de perle,??? de nacre de perle,??? de nacre de perle
denrées,denrées,denrees
denrées coloniales,denrées coloniales,denrees coloniales
denrées coloniales cacao,denrées coloniales cacao,denrees coloniales cacao
denrées coloniales café,denrées coloniales café,denrees coloniales cafe
denrées coloniales canefice,denrées coloniales canefice,denrees coloniales canefice
denrées coloniales diverses,denrées coloniales diverses,denrees coloniales diverses
denrées coloniales écaille de tortue,denrées coloniales écaille de tortue,denrees coloniales ecaille de tortue
denrées coloniales en indigo et sucre,denrées coloniales en indigo et sucre,denrees coloniales en indigo et sucre
denrées coloniales épicerie en muscade et poivre,denrées coloniales épicerie en muscade et poivre,denrees coloniales epicerie en muscade et poivre
denrées coloniales et épicerie,denrées coloniales et épicerie,denrees coloniales et epicerie
denrées coloniales gingembre,denrées coloniales gingembre,denrees coloniales gingembre
denrées coloniales indigo,denrées coloniales indigo,denrees coloniales indigo
denrées coloniales réunies,denrées coloniales réunies,denrees coloniales reunies
denrées coloniales rocou,denrées coloniales rocou,denrees coloniales rocou
denrées coloniales sirop mélasse,denrées coloniales sirop mélasse,denrees coloniales sirop melasse
denrées coloniales sucre blanc terré et têtes,denrées coloniales sucre blanc terré et têtes,denrees coloniales sucre blanc terre et tetes
denrées coloniales sucre brut,denrées coloniales sucre brut,denrees coloniales sucre brut
denrées coloniales sucre cacao café,denrées coloniales sucre cacao café,denrees coloniales sucre cacao cafe
denrées coloniales sucre raffiné,denrées coloniales sucre raffiné,denrees coloniales sucre raffine
denrées coloniales tabac,denrées coloniales tabac,denrees coloniales tabac
denrées coloniales tafia,denrées coloniales tafia,denrees coloniales tafia
denrées coloniales telles que sucre café thé,denrées coloniales telles que sucre café thé,denrees coloniales telles que sucre cafe the
denrées des colonies rhum,denrées des colonies rhum,denrees des colonies rhum
denrées des colonies rum,denrées des colonies rum,denrees des colonies rum
denrées des colonies sirop,denrées des colonies sirop,denrees des colonies sirop
denrées des colonies tafia,denrées des colonies tafia,denrees des colonies tafia
denrées des Îles coton,denrées des îles coton,denrees des iles coton
denrées des Îles rocou,denrées des îles rocou,denrees des iles rocou
denrées des Îles sucre brun,denrées des îles sucre brun,denrees des iles sucre brun
denrées des Îles françaises de l'Amérique cacao,denrées des îles françaises de l'amérique cacao,denrees des iles francaises de l'amerique cacao
denrées des Îles françaises de l'Amérique café,denrées des îles françaises de l'amérique café,denrees des iles francaises de l'amerique cafe
denrées des Îles françaises de l'Amérique coton,denrées des îles françaises de l'amérique coton,denrees des iles francaises de l'amerique coton
denrées des Îles françaises de l'Amérique gingembre,denrées des îles françaises de l'amérique gingembre,denrees des iles francaises de l'amerique gingembre
denrées des Îles françaises de l'Amérique indigo,denrées des îles françaises de l'amérique indigo,denrees des iles francaises de l'amerique indigo
denrées des Îles françaises de l'Amérique objets réunis,denrées des îles françaises de l'amérique objets réunis,denrees des iles francaises de l'amerique objets reunis
denrées des Îles françaises de l'Amérique rocou,denrées des îles françaises de l'amérique rocou,denrees des iles francaises de l'amerique rocou
denrées des Îles françaises de l'Amérique sirop mélasse,denrées des îles françaises de l'amérique sirop mélasse,denrees des iles francaises de l'amerique sirop melasse
denrées des Îles françaises de l'Amérique sucre blanc et terré,denrées des îles françaises de l'amérique sucre blanc et terré,denrees des iles francaises de l'amerique sucre blanc et terre
denrées des Îles françaises de l'Amérique sucre brut,denrées des îles françaises de l'amérique sucre brut,denrees des iles francaises de l'amerique sucre brut
denrées des Îles françaises de l'Amérique sucre raffiné,denrées des îles françaises de l'amérique sucre raffiné,denrees des iles francaises de l'amerique sucre raffine
denrées des Îles françaises de l'Amérique sucre têtes,denrées des îles françaises de l'amérique sucre têtes,denrees des iles francaises de l'amerique sucre tetes
denrées du crû des Isles d'Amérique provenant de la vente aux dites Isles des nègres de Guinée,denrées du crû des isles d'amérique provenant de la vente aux dites isles des nègres de guinée,denrees du cru des isles d'amerique provenant de la vente aux dites isles des negres de guinee
denrées du crû des Isles d'Amérique provenant de la vente aux dites Isles des nègres de Sénégal,denrées du crû des isles d'amérique provenant de la vente aux dites isles des nègres de sénégal,denrees du cru des isles d'amerique provenant de la vente aux dites isles des negres de senegal
dentelle blonde de soie,dentelle blonde de soie,dentelle blonde de soie
dentelle d'Alençon,dentelle d'alençon,dentelle d'alencon
dentelle d'Andelys,dentelle d'andelys,dentelle d'andelys
dentelle de Bretagne,dentelle de bretagne,dentelle de bretagne
dentelle de Dieppe,dentelle de dieppe,dentelle de dieppe
dentelle de fil 2 lignes,dentelle de fil 2 lignes,dentelle de fil 2 lignes
dentelle de fil blanc commune,dentelle de fil blanc commune,dentelle de fil blanc commune
dentelle de fil blanc de Lille,dentelle de fil blanc de lille,dentelle de fil blanc de lille
dentelle de fil d'Alençon,dentelle de fil d'alençon,dentelle de fil d'alencon
dentelle de fil de Bergame,dentelle de fil de bergame,dentelle de fil de bergame
dentelle de fil de ??? et Reims,dentelle de fil de ??? et reims,dentelle de fil de ??? et reims
dentelle de fil de fil,dentelle de fil de fil,dentelle de fil de fil
dentelle de fil de lin,dentelle de fil de lin,dentelle de fil de lin
dentelle de fil de laine,dentelle de fil de laine,dentelle de fil de laine
dentelle de fil de Normandie,dentelle de fil de normandie,dentelle de fil de normandie
dentelle de fil de soie,dentelle de fil de soie,dentelle de fil de soie
dentelle de fil dorure d'argent,dentelle de fil dorure d'argent,dentelle de fil dorure d'argent
dentelle de fil dorure d'or faux,dentelle de fil dorure d'or faux,dentelle de fil dorure d'or faux
dentelle de fil dorure d'or fin,dentelle de fil dorure d'or fin,dentelle de fil dorure d'or fin
dentelle de fil du Puy et ???,dentelle de fil du puy et ???,dentelle de fil du puy et ???
dentelle de fil et Valenciennes,dentelle de fil et valenciennes,dentelle de fil et valenciennes
dentelle de fil grossier,dentelle de fil grossier,dentelle de fil grossier
dentelle de fil commun,dentelle de fil commun,dentelle de fil commun
dentelle de France,dentelle de france,dentelle de france
dentelle de gaze,dentelle de gaze,dentelle de gaze
dentelle de Lille,dentelle de lille,dentelle de lille
dentelle de Rouen,dentelle de rouen,dentelle de rouen
dentelle de soie au quart,dentelle de soie au quart,dentelle de soie au quart
dentelle de soie blanche,dentelle de soie blanche,dentelle de soie blanche
dentelle de soie blonde,dentelle de soie blonde,dentelle de soie blonde
dentelle de soie de Rouen,dentelle de soie de rouen,dentelle de soie de rouen
dentelle de soie et fil,dentelle de soie et fil,dentelle de soie et fil
dentelle de soie noire,dentelle de soie noire,dentelle de soie noire
dentelle d'or fin,dentelle d'or fin,dentelle d'or fin
dentelle dorure d'or et argent,dentelle dorure d'or et argent,dentelle dorure d'or et argent
dentelle dorure d'or faux,dentelle dorure d'or faux,dentelle dorure d'or faux
dentelle du pays,dentelle du pays,dentelle du pays
dentelle de Puy,dentelle de puy,dentelle de puy
dentelle du Puy en soie,dentelle du puy en soie,dentelle du puy en soie
dentelle en coiffures et manchettes,dentelle en coiffures et manchettes,dentelle en coiffures et manchettes
dentelle fil blanc,dentelle fil blanc,dentelle fil blanc
dentelle fil commune,dentelle fil commune,dentelle fil commune
dentelle fil grosse,dentelle fil grosse,dentelle fil grosse
dentelle grosse de fil,dentelle grosse de fil,dentelle grosse de fil
dentelle mignonette,dentelle mignonette,dentelle mignonette
dentelle or et argent faux,dentelle or et argent faux,dentelle or et argent faux
dentelle de fil de crin,dentelle de fil de crin,dentelle de fil de crin
dentelle de fil diverse,dentelle de fil diverse,dentelle de fil diverse
dentelle de fil et de soie,dentelle de fil et de soie,dentelle de fil et de soie
dentelle de fil et tulle,dentelle de fil et tulle,dentelle de fil et tulle
dentelle de Gisors,dentelle de gisors,dentelle de gisors
dentelle de lin et de chanvre,dentelle de lin et de chanvre,dentelle de lin et de chanvre
dentelle de toute autre sorte que soie,dentelle de toute autre sorte que soie,dentelle de toute autre sorte que soie
dentelle et blonde,dentelle et blonde,dentelle et blonde
dentelle moyenne,dentelle moyenne,dentelle moyenne
dents à éléphant,dents à éléphant,dents a elephant
dents cheval marin,dents cheval marin,dents cheval marin
dents d'éléphant entières,dents d'éléphant entières,dents d'elephant entieres
dents d'éléphant entières des entrepôts,dents d'éléphant entières des entrepôts,dents d'elephant entieres des entrepots
dents d'éléphants,dents d'éléphants,dents d'elephants
de peu de valeur,de peu de valeur,de peu de valeur
derle,derle,derle
??? des ci-devant provinces d'Alsace,??? des ci-devant provinces d'alsace,??? des ci-devant provinces d'alsace
??? des ci-devant provinces de Bourgogne,??? des ci-devant provinces de bourgogne,??? des ci-devant provinces de bourgogne
??? des ci-devant provinces du Languedoc,??? des ci-devant provinces du languedoc,??? des ci-devant provinces du languedoc
??? des ci-devant provinces de Provence,??? des ci-devant provinces de provence,??? des ci-devant provinces de provence
dès de cuivre,dès de cuivre,des de cuivre
dès de fer,dès de fer,des de fer
dès de laiton,dès de laiton,des de laiton
déserteur,déserteur,deserteur
déshabillé,déshabillé,deshabille
despeigne,despeigne,despeigne
dessins de papier,dessins de papier,dessins de papier
dessus de souliers brodés,dessus de souliers brodés,dessus de souliers brodes
dessus de table de marbre,dessus de table de marbre,dessus de table de marbre
de tafia,de tafia,de tafia
devant d'autel,devant d'autel,devant d'autel
devant de vestes de basin,devant de vestes de basin,devant de vestes de basin
devant de vestes,devant de vestes,devant de vestes
de ville,de ville,de ville
dai ou baldaquin,dai ou baldaquin,dai ou baldaquin
dés,dés,des
dés à coudre de cuivre,dés à coudre de cuivre,des a coudre de cuivre
dés à coudre de cuivre et fer,dés à coudre de cuivre et fer,des a coudre de cuivre et fer
dés en cuivre,dés en cuivre,des en cuivre
diactamy en fleurs,diactamy en fleurs,diactamy en fleurs
diagrede,diagrede,diagrede
dialbequier,dialbequier,dialbequier
diamants,diamants,diamants
diamants bruts,diamants bruts,diamants bruts
diamants taillés,diamants taillés,diamants tailles
dictionnaire du commerce,dictionnaire du commerce,dictionnaire du commerce
dictionnaire hollandais,dictionnaire hollandais,dictionnaire hollandais
différentes marchandises,différentes marchandises,differentes marchandises
différentes marchandises pour la traite des noirs,différentes marchandises pour la traite des noirs,differentes marchandises pour la traite des noirs
dimelle,dimelle,dimelle
demitte aune,demitte aune,demitte aune
dindonneaux,dindonneaux,dindonneaux
dindons,dindons,dindons
distillats,distillats,distillats
ditors,ditors,ditors
divers articles,divers articles,divers articles
divers effets,divers effets,divers effets
divers en mercerie etc.,divers en mercerie etc.,divers en mercerie etc.
divers,divers,divers
??? diverses,??? diverses,??? diverses
diverses marchandises permises,diverses marchandises permises,diverses marchandises permises
diverses marchandises sèches,diverses marchandises sèches,diverses marchandises seches
diverses provisions,diverses provisions,diverses provisions
diverses terrailles,diverses terrailles,diverses terrailles
divers fruits sec tels que figue et pruneaux etc.,divers fruits sec tels que figue et pruneaux etc.,divers fruits sec tels que figue et pruneaux etc.
divers grains,divers grains,divers grains
divers gros et menus ouvrages de bois,divers gros et menus ouvrages de bois,divers gros et menus ouvrages de bois
divers marchandises,divers marchandises,divers marchandises
divers petits objets,divers petits objets,divers petits objets
dividivi,dividivi,dividivi
drogues médicinales tartre crème,drogues médicinales tartre crème,drogues medicinales tartre creme
doloirs,doloirs,doloirs
dominoterie et cartes géographiques,dominoterie et cartes géographiques,dominoterie et cartes geographiques
doréas brodées en couleur,doréas brodées en couleur,doreas brodees en couleur
doréas mega,doréas mega,doreas mega
dorpins en pierre,dorpins en pierre,dorpins en pierre
dorure ??? en faux,dorure ??? en faux,dorure ??? en faux
dorure en paillettes faux,dorure en paillettes faux,dorure en paillettes faux
dorure fausse en or et argent,dorure fausse en or et argent,dorure fausse en or et argent
dorure fine en galon d'or,dorure fine en galon d'or,dorure fine en galon d'or
dorure fine et fausse,dorure fine et fausse,dorure fine et fausse
dorure fine sur soie,dorure fine sur soie,dorure fine sur soie
dorure de Zurich,dorure de zurich,dorure de zurich
dorure filée,dorure filée,dorure filee
dorure fine en galon,dorure fine en galon,dorure fine en galon
dos ventres et gorges de petit-gris,dos ventres et gorges de petit-gris,dos ventres et gorges de petit-gris
dos ventres et gorges de renards martes et fouines,dos ventres et gorges de renards martes et fouines,dos ventres et gorges de renards martes et fouines
doublures de martre pour habits,doublures de martre pour habits,doublures de martre pour habits
doublure de petis gris,doublure de petis gris,doublure de petis gris
douelles à cuve,douelles à cuve,douelles a cuve
douelles à quart,douelles à quart,douelles a quart
douelles à tonneaux en douelles,douelles à tonneaux en douelles,douelles a tonneaux en douelles
douelles à tonneaux vieilles,douelles à tonneaux vieilles,douelles a tonneaux vieilles
douelles barriques,douelles barriques,douelles barriques
douelles de sapin de 3 pieds,douelles de sapin de 3 pieds,douelles de sapin de 3 pieds
douelles de tonneaux,douelles de tonneaux,douelles de tonneaux
douelles fonçaille,douelles fonçaille,douelles foncaille
douelles à barricage,douelles à barricage,douelles a barricage
douelles à faire barriques,douelles à faire barriques,douelles a faire barriques
douelles pour fonds,douelles pour fonds,douelles pour fonds
douelles à barriques neuves,douelles à barriques neuves,douelles a barriques neuves
douelles à bure,douelles à bure,douelles a bure
douelles à caves,douelles à caves,douelles a caves
douelles à pièces,douelles à pièces,douelles a pieces
douelles à poinçons,douelles à poinçons,douelles a poincons
douelles à tierçons,douelles à tierçons,douelles a tiercons
douelles de chêne de 3 pieds,douelles de chêne de 3 pieds,douelles de chene de 3 pieds
douelles de chêne de 4 pieds,douelles de chêne de 4 pieds,douelles de chene de 4 pieds
douelles de chêne de 5 pieds,douelles de chêne de 5 pieds,douelles de chene de 5 pieds
doutis blancs,doutis blancs,doutis blancs
doutis bleus,doutis bleus,doutis bleus
douvain,douvain,douvain
douvelles,douvelles,douvelles
douvelles de sapin,douvelles de sapin,douvelles de sapin
douves de deux pouces,douves de deux pouces,douves de deux pouces
drache de bière,drache de bière,drache de biere
dracodium,dracodium,dracodium
dragonnes,dragonnes,dragonnes
dragonnes d'épée,dragonnes d'épée,dragonnes d'epee
drague de bière,drague de bière,drague de biere
drogueries diverses,drogueries diverses,drogueries diverses
drague de brasserie,drague de brasserie,drague de brasserie
drague de soie,drague de soie,drague de soie
drap à doubler,drap à doubler,drap a doubler
drap à matelot,drap à matelot,drap a matelot
drap à sucre,drap à sucre,drap a sucre
drap blanc de Bremer,drap blanc de bremer,drap blanc de bremer
drap blanc de Bremer aune,drap blanc de bremer aune,drap blanc de bremer aune
drap blanc et écarlate,drap blanc et écarlate,drap blanc et ecarlate
drap blanc fin,drap blanc fin,drap blanc fin
drap bleu,drap bleu,drap bleu
drap bleu gros,drap bleu gros,drap bleu gros
drap brodé aux ciseaux en soie,drap brodé aux ciseaux en soie,drap brode aux ciseaux en soie
drap by,drap by,drap by
drap calimouk de Sedan 20 lignes,drap calimouk de sedan 20 lignes,drap calimouk de sedan 20 lignes
drap calimouk de Sedan 350 lignes,drap calimouk de sedan 350 lignes,drap calimouk de sedan 350 lignes
drap calimouk,drap calimouk,drap calimouk
drap kalmouk,drap kalmouk,drap kalmouk
drap carisé des prises,drap carisé des prises,drap carise des prises
drap carisé,drap carisé,drap carise
drap commun d'Angleterre,drap commun d'angleterre,drap commun d'angleterre
drap cosinis,drap cosinis,drap cosinis
drap crêpe,drap crêpe,drap crepe
drap d'Angleterre noir,drap d'angleterre noir,drap d'angleterre noir
drap d'Aumale,drap d'aumale,drap d'aumale
drap de billard,drap de billard,drap de billard
drap de Bolbec,drap de bolbec,drap de bolbec
drap de Bourbon,drap de bourbon,drap de bourbon
drap de Carcassonne écarlate,drap de carcassonne écarlate,drap de carcassonne ecarlate
drap de Carcassonne fin,drap de carcassonne fin,drap de carcassonne fin
drap de Carcassonne de 20 aunes,drap de carcassonne de 20 aunes,drap de carcassonne de 20 aunes
drap de casimir,drap de casimir,drap de casimir
drap de Dauphiné,drap de dauphiné,drap de dauphine
drap de fil vieux,drap de fil vieux,drap de fil vieux
drap de Glasier,drap de glasier,drap de glasier
drap de glaster,drap de glaster,drap de glaster
drap de glastes,drap de glastes,drap de glastes
drap de Glouster,drap de glouster,drap de glouster
drap de la Bouille,drap de la bouille,drap de la bouille
drap de lain,drap de lain,drap de lain
drap de laine demi fin,drap de laine demi fin,drap de laine demi fin
drap de laine au ??? de soie,drap de laine au ??? de soie,drap de laine au ??? de soie
drap de laine avarié,drap de laine avarié,drap de laine avarie
drap de laine blanc,drap de laine blanc,drap de laine blanc
drap de laine bleu,drap de laine bleu,drap de laine bleu
drap de laine brodé en soie,drap de laine brodé en soie,drap de laine brode en soie
drap de laine d'Abbeville,drap de laine d'abbeville,drap de laine d'abbeville
drap de laine d'Amiens,drap de laine d'amiens,drap de laine d'amiens
drap de laine d'Andelys,drap de laine d'andelys,drap de laine d'andelys
drap de laine d'Arnetal,drap de laine d'arnetal,drap de laine d'arnetal
drap de laine de ???,drap de laine de ???,drap de laine de ???
drap de laine de Beauvais,drap de laine de beauvais,drap de laine de beauvais
drap de laine de castor,drap de laine de castor,drap de laine de castor
drap de laine de cérémonie,drap de laine de cérémonie,drap de laine de ceremonie
drap de laine de Cherbourg,drap de laine de cherbourg,drap de laine de cherbourg
drap de laine de Cours,drap de laine de cours,drap de laine de cours
drap de laine de Lille,drap de laine de lille,drap de laine de lille
drap de laine de Nanrabais,drap de laine de nanrabais,drap de laine de nanrabais
drap de laine de Nison,drap de laine de nison,drap de laine de nison
drap de laine de Reims,drap de laine de reims,drap de laine de reims
drap de laine de Rome,drap de laine de rome,drap de laine de rome
drap de laine de Rouen,drap de laine de rouen,drap de laine de rouen
drap de laine de Sedan,drap de laine de sedan,drap de laine de sedan
drap de laine de Sir,drap de laine de sir,drap de laine de sir
drap de laine de Vir,drap de laine de vir,drap de laine de vir
drap de laine du Nord,drap de laine du nord,drap de laine du nord
drap de laine du sceau,drap de laine du sceau,drap de laine du sceau
drap de laine étranger,drap de laine étranger,drap de laine etranger
drap de laine fine,drap de laine fine,drap de laine fine
drap de laine gros,drap de laine gros,drap de laine gros
drap de laine lin,drap de laine lin,drap de laine lin
drap de laine londrin,drap de laine londrin,drap de laine londrin
drap du Languedoc écarlate,drap du languedoc écarlate,drap du languedoc ecarlate
drap de Languenan,drap de languenan,drap de languenan
drap de linge commun,drap de linge commun,drap de linge commun
drap de Louviers au sixième de soie,drap de louviers au sixième de soie,drap de louviers au sixieme de soie
drap de Maroc,drap de maroc,drap de maroc
drap de Nîmes,drap de nîmes,drap de nimes
drap de Normandie,drap de normandie,drap de normandie
drap de pagnon,drap de pagnon,drap de pagnon
drap de Picardie,drap de picardie,drap de picardie
drap du Poitou,drap du poitou,drap du poitou
drap de Reims fil ???,drap de reims fil ???,drap de reims fil ???
drap de Romorntin,drap de romorntin,drap de romorntin
drap de Saint-Lô,drap de saint-lô,drap de saint-lo
drap de Sedan 220 lignes,drap de sedan 220 lignes,drap de sedan 220 lignes
drap de Sedan 25 lignes,drap de sedan 25 lignes,drap de sedan 25 lignes
drap de Sedan 78 lignes,drap de sedan 78 lignes,drap de sedan 78 lignes
drap d'estame,drap d'estame,drap d'estame
drap de toile de lin,drap de toile de lin,drap de toile de lin
drap de Tours,drap de tours,drap de tours
drap drapée,drap drapée,drap drapee
drap draperie ???,drap draperie ???,drap draperie ???
drap draperie,drap draperie,drap draperie
drap draperie bay ???,drap draperie bay ???,drap draperie bay ???
drap draperie buras,drap draperie buras,drap draperie buras
drap draperie bure,drap draperie bure,drap draperie bure
drap draperie cad ???,drap draperie cad ???,drap draperie cad ???
drap draperie capots,drap draperie capots,drap draperie capots
drap draperie d'Abbeville,drap draperie d'abbeville,drap draperie d'abbeville
drap draperie Damas,drap draperie damas,drap draperie damas
drap draperie de Carcassonne,drap draperie de carcassonne,drap draperie de carcassonne
drap draperie diverse,drap draperie diverse,drap draperie diverse
drap draperie flanelle,drap draperie flanelle,drap draperie flanelle
drap draperie frac,drap draperie frac,drap draperie frac
drap draperie froc,drap draperie froc,drap draperie froc
drap draperie iadia,drap draperie iadia,drap draperie iadia
drap draperie irtaine,drap draperie irtaine,drap draperie irtaine
drap draperie layette,drap draperie layette,drap draperie layette
drap draperie molleton,drap draperie molleton,drap draperie molleton
drap draperie motton,drap draperie motton,drap draperie motton
drap draperie moutade,drap draperie moutade,drap draperie moutade
drap draperie raz de castor,drap draperie raz de castor,drap draperie raz de castor
drap draperie serge,drap draperie serge,drap draperie serge
drap draperie sergette,drap draperie sergette,drap draperie sergette
drap draperie serge de Rome,drap draperie serge de rome,drap draperie serge de rome
drap draperie terlaine,drap draperie terlaine,drap draperie terlaine
drap draperie tricots,drap draperie tricots,drap draperie tricots
drap droguet,drap droguet,drap droguet
drap droguet d'Angleterre,drap droguet d'angleterre,drap droguet d'angleterre
drap du Château du Parc,drap du château du parc,drap du chateau du parc
drap du Dauphiné,drap du dauphiné,drap du dauphine
drap de fil en écarlate,drap de fil en écarlate,drap de fil en ecarlate
drap du Nord blanc,drap du nord blanc,drap du nord blanc
drap du Nord mêlé,drap du nord mêlé,drap du nord mele
drap du Nord mêlé aune,drap du nord mêlé aune,drap du nord mele aune
drap du Nord teint,drap du nord teint,drap du nord teint
drap du Nord teint aune,drap du nord teint aune,drap du nord teint aune
drapeaux,drapeaux,drapeaux
drapeaux vieux pour papeterie,drapeaux vieux pour papeterie,drapeaux vieux pour papeterie
drap écarlate de France,drap écarlate de france,drap ecarlate de france
drap écarlate des prises,drap écarlate des prises,drap ecarlate des prises
drape commune,drape commune,drape commune
drape draperie ratine,drape draperie ratine,drape draperie ratine
