name_orthographic,lowercase_name
cannes dites genettes,cannes dites genettes
cannes en brochettes,cannes en brochettes
cannes en canon,cannes en canon
cannes et bâtons vernis,cannes et bâtons vernis
cannes garnies de leurs flacons,cannes garnies de leurs flacons
cannetilles or et argent,cannetilles or et argent
cannettes de terre de grès,cannettes de terre de grès
canevas à 15 sols l'aune,canevas à 15 sols l'aune
canevettes de grès de 6 flacons,canevettes de grès de 6 flacons
canevettes diverses,canevettes diverses
canons à feu,canons à feu
cannes à pommes d'argent,cannes à pommes d'argent
canons de 6 pieds,canons de 6 pieds
canons de fonte petit,canons de fonte petit
canons de fusils vieux,canons de fusils vieux
canons en fer,canons en fer
canons calibre de toute sorte,canons calibre de toute sorte
canons de 18 de balles,canons de 18 de balles
canons de 2 livres de balles,canons de 2 livres de balles
canons de 3 livres de balles,canons de 3 livres de balles
canons de 3 livres de calibre,canons de 3 livres de calibre
canons de 4 livres de calibre,canons de 4 livres de calibre
canons de 6 livres de balle,canons de 6 livres de balle
canons de bronze,canons de bronze
canons de bronze d'un demi livre de balles,canons de bronze d'un demi livre de balles
canons de divers calibre,canons de divers calibre
canons de fer avec leurs affûts,canons de fer avec leurs affûts
canons de fer brisés et rompus,canons de fer brisés et rompus
canons de fer de 12 livres,canons de fer de 12 livres
canons de fer de 18 à 24 livres,canons de fer de 18 à 24 livres
canons de fer de 18 à 24 livres de balle,canons de fer de 18 à 24 livres de balle
canons de fer de 18 et 30 livres de balles,canons de fer de 18 et 30 livres de balles
canons de fer de 18 livres,canons de fer de 18 livres
canons de fer de 2 livres de calibre,canons de fer de 2 livres de calibre
canons de fer de 3 à 4 livres de balle,canons de fer de 3 à 4 livres de balle
canons de fer de 3 livres,canons de fer de 3 livres
canons de fer de 3 livres de balle,canons de fer de 3 livres de balle
canons de fer de 3 livres de calibre,canons de fer de 3 livres de calibre
canons de fer de 4 livres,canons de fer de 4 livres
canons de fer de 8 livres,canons de fer de 8 livres
canons de fer de 9 livres de balle,canons de fer de 9 livres de balle
canons de fer de 8 de balle,canons de fer de 8 de balle
canons de fer en nombre,canons de fer en nombre
canons de fer petits,canons de fer petits
canons de feu de 4 livres balle,canons de feu de 4 livres balle
canons de filoselle,canons de filoselle
canons de métal de 12 livres de balle,canons de métal de 12 livres de balle
canons de toutes espèces,canons de toutes espèces
canons de vieux mousquets,canons de vieux mousquets
canons en fer de 2 livres,canons en fer de 2 livres
canons en métal,canons en métal
canons et affûts,canons et affûts
canons et boulets,canons et boulets
canons fer,canons fer
canons fonte de fer,canons fonte de fer
canot neuf,canot neuf
cantharides et cloportes,cantharides et cloportes
cantharides (mouches desséchées),cantharides (mouches desséchées)
cantharides ou mouches d'Espagne,cantharides ou mouches d'espagne
cantines de cuir,cantines de cuir
cantines,cantines
canules,canules
caoutchouc,caoutchouc
capalme,capalme
caparaçons de peau,caparaçons de peau
capeabas,capeabas
caperie,caperie
capes cabas,capes cabas
capes du Béarn,capes du béarn
capies,capies
capillaire du Canada,capillaire du canada
capillaire verte,capillaire verte
capiton,capiton
capiton de soie,capiton de soie
capons,capons
capot,capot
capotes de drap,capotes de drap
capotes de gros drap,capotes de gros drap
capotes de marrègue,capotes de marrègue
capots,capots
capots à nègre,capots à nègre
câpres communes,câpres communes
câpres cornichons et olives,câpres cornichons et olives
câpres d'Espagne,câpres d'espagne
câpres et olives,câpres et olives
câpres fines,câpres fines
câpres gousses,câpres gousses
câpres grosses,câpres grosses
câpres marinées,câpres marinées
câpres non marinées,câpres non marinées
capris,capris
caput mortum,caput mortum
carabé jaune,carabé jaune
carabines à air,carabines à air
carabines à air comprimé,carabines à air comprimé
caractères à imprimerie,caractères à imprimerie
caractères d'imprimerie neufs,caractères d'imprimerie neufs
caractères d'imprimerie neufs en langue allemande,caractères d'imprimerie neufs en langue allemande
caractères d'imprimerie neufs en langue française,caractères d'imprimerie neufs en langue française
caractères hors d'usage,caractères hors d'usage
carafes de verre,carafes de verre
carafes de verre blanc,carafes de verre blanc
caramel,caramel
carants en lanjents,carants en lanjents
casaques du cuir,casaques du cuir
carbonate de plomb très pur (blanc d'argent),carbonate de plomb très pur (blanc d'argent)
carbone de plomb très pur (blanc d'argent),carbone de plomb très pur (blanc d'argent)
carcajou,carcajou
charcanas,charcanas
carcasse à peu de soie,carcasse à peu de soie
carcasse,carcasse
cardage,cardage
cardes,cardes
cardes à carder neuves,cardes à carder neuves
cardes à carder vieilles,cardes à carder vieilles
cardes à drapier,cardes à drapier
cardes carder,cardes carder
cardes de bois et fil de fer,cardes de bois et fil de fer
cardes de chanvre,cardes de chanvre
cardes et cardons champêtres,cardes et cardons champêtres
cardines de bois,cardines de bois
cardines de sapin,cardines de sapin
carrelet,carrelet
cargaison,cargaison
cargo et provisions,cargo et provisions
carriole d'enfant,carriole d'enfant
carisé blanc,carisé blanc
carisé blanc aune,carisé blanc aune
carisé mêlé,carisé mêlé
carisé teint,carisé teint
carisé teint aune,carisé teint aune
carisel ou creseau,carisel ou creseau
carives vieilles,carives vieilles
carisé étoffe,carisé étoffe
carlé,carlé
carlon,carlon
carmin,carmin
carmin commun,carmin commun
carmin fin,carmin fin
carnifié,carnifié
caroube ou carouge,caroube ou carouge
carols,carols
caroos,caroos
caroots,caroots
carrosses et harnais,carrosses et harnais
carrosses grands montés sur leur train et harnais riche,carrosses grands montés sur leur train et harnais riche
carrosses neufs,carrosses neufs
carrosses vieux,carrosses vieux
carrosses usés,carrosses usés
carotte d'enfant,carotte d'enfant
carou,carou
carpes,carpes
carpes de stockfish,carpes de stockfish
carpes et brochets,carpes et brochets
carré,carré
carreaux ???,carreaux ???
carreaux à faire dentelle,carreaux à faire dentelle
carreaux à vitres,carreaux à vitres
carreaux de dentelle,carreaux de dentelle
carreaux de genièvre,carreaux de genièvre
carreaux de gros marbre,carreaux de gros marbre
carreaux de marbre à paver,carreaux de marbre à paver
carreaux de marbre bâtard,carreaux de marbre bâtard
carreaux de marbre pour le Roi,carreaux de marbre pour le roi
carreaux de moulage,carreaux de moulage
carreaux démoulés,carreaux démoulés
carreaux de pierre noire,carreaux de pierre noire
carreaux de pierre de terre,carreaux de pierre de terre
carreaux de sera,carreaux de sera
carreaux des prises,carreaux des prises
carreaux de Suède,carreaux de suède
carreaux de terre cuite,carreaux de terre cuite
carreaux de terre d'or pied demi en carré,carreaux de terre d'or pied demi en carré
carreaux de terre en millier,carreaux de terre en millier
carreaux de terre grands,carreaux de terre grands
carreaux de verre pour vitre,carreaux de verre pour vitre
carreaux en nombre,carreaux en nombre
carreaux en pierre,carreaux en pierre
carreaux Ile de France,carreaux ile de france
carreaux meulage de France,carreaux meulage de france
carreaux meulage de Brie,carreaux meulage de brie
carreaux noirs,carreaux noirs
carreaux pierre de Bidache,carreaux pierre de bidache
carres,carres
carrole et crouge,carrole et crouge
cartager,cartager
cartame,cartame
cartes des côtes d'Angleterre,cartes des côtes d'angleterre
cartes géographique,cartes géographique
cartes géométriques,cartes géométriques
cartes à chaperonier,cartes à chaperonier
cartes de géographie sur toile,cartes de géographie sur toile
cartes géographiques de la Chine,cartes géographiques de la chine
cartes géographiques et estampes,cartes géographiques et estampes
cartes jouer,cartes jouer
cartes marines de pêche,cartes marines de pêche
carthame,carthame
carthame ou safranum,carthame ou safranum
carton à drapier,carton à drapier
carton et autres en feuilles,carton et autres en feuilles
carton coupé et assemblé,carton coupé et assemblé
carton en feuilles,carton en feuilles
carton lustré à presser le drap,carton lustré à presser le drap
carton moulé,carton moulé
carton ouvrages en carton,carton ouvrages en carton
carton ouvré,carton ouvré
carton ouvré et en feuilles,carton ouvré et en feuilles
carton en feuilles et lustré à presser le drap,carton en feuilles et lustré à presser le drap
carton ouvrages en carton moulé coupé et assemblé,carton ouvrages en carton moulé coupé et assemblé
carton peint,carton peint
cartouches,cartouches
quarts,quarts
caruane,caruane
carvi,carvi
carzé,carzé
casaques de froc,casaques de froc
casaques de laine,casaques de laine
casaques et capots,casaques et capots
casaques pour matelot,casaques pour matelot
case,case
casimirs de laine et mérinos,casimirs de laine et mérinos
casimirs,casimirs
casques à nègre,casques à nègre
casques et cuirasses,casques et cuirasses
cassave,cassave
cassedis,cassedis
casse en bâtons ou fistula,casse en bâtons ou fistula
casse sans apprêt,casse sans apprêt
casse sans apprêt des entrepôts,casse sans apprêt des entrepôts
casse de fer,casse de fer
casse de laiton,casse de laiton
casse garnie,casse garnie
cassi matia,cassi matia
cassin bazas,cassin bazas
cartes de Martinique,cartes de martinique
castor blanc,castor blanc
castor bordés d'or et d'argent,castor bordés d'or et d'argent
castus doux,castus doux
catadarits,catadarits
catequin,catequin
catéchismes,catéchismes
catlas,catlas
caubrune,caubrune
cannes de bambous,cannes de bambous
cauride,cauride
caurie,caurie
caurier,caurier
cauris de retour,cauris de retour
cauris divers,cauris divers
cauris pour la traite,cauris pour la traite
cauris vernis,cauris vernis
cauris verts salés,cauris verts salés
causse en corde,causse en corde
caves de 15 flacons,caves de 15 flacons
caves de 6 flacons pour mettre eau-de-vie,caves de 6 flacons pour mettre eau-de-vie
caves files,caves files
caves garnies de flacons de cristal,caves garnies de flacons de cristal
cavelle pour tonneaux,cavelle pour tonneaux
caves,caves
caves à 6 flacons,caves à 6 flacons
caves à main,caves à main
caves à tabac,caves à tabac
caves avec flacons,caves avec flacons
caves de 8 flacons,caves de 8 flacons
caves de ??? flacons,caves de ??? flacons
caves et flacons,caves et flacons
caves et leurs flacons,caves et leurs flacons
caves garnies ???,caves garnies ???
caves garnies de 10 flacons,caves garnies de 10 flacons
caves garnies de 12 fioles,caves garnies de 12 fioles
caves garnies de 15 flacons,caves garnies de 15 flacons
caves garnies de 18 flacons,caves garnies de 18 flacons
caves garnies de 21 flacons,caves garnies de 21 flacons
caves garnies de 29 flacons,caves garnies de 29 flacons
caves garnies de 6 fioles,caves garnies de 6 fioles
caves garnies de 7 flacons,caves garnies de 7 flacons
caves garnies de 8 flacons,caves garnies de 8 flacons
caves garnies de 9 fioles,caves garnies de 9 fioles
caves garnies de leurs flacons,caves garnies de leurs flacons
flacons pour caves garnies (?),flacons pour caves garnies (?)
caves non garnies de flacons,caves non garnies de flacons
caves ou flacons,caves ou flacons
cavettes de bois,cavettes de bois
caviers de terre,caviers de terre
cavizé,cavizé
cayette,cayette
cazé,cazé
cazin bazar,cazin bazar
ceaustatille étoffe,ceaustatille étoffe
cédrat à planter,cédrat à planter
cédrat confit zestes confits,cédrat confit zestes confits
cèdre,cèdre
ceintures brodées,ceintures brodées
ceintures brodées de soie,ceintures brodées de soie
ceintures d'argent fin,ceintures d'argent fin
ceintures de laine et fil,ceintures de laine et fil
ceintures d'épée,ceintures d'épée
ceintures de robe de chambre,ceintures de robe de chambre
ceintures marines,ceintures marines
ceintures,ceintures
ceintures de cuir,ceintures de cuir
ceintures de matelot,ceintures de matelot
ceintures de prêtre,ceintures de prêtre
ceintures d'or et d'argent,ceintures d'or et d'argent
ceinturons de cuir,ceinturons de cuir
ceinturons brodés,ceinturons brodés
ceinturons brodés d'argent,ceinturons brodés d'argent
ceinturons brodés d'or,ceinturons brodés d'or
ceinturons de buffle,ceinturons de buffle
ceinturons de chamois,ceinturons de chamois
ceinturons de coton,ceinturons de coton
ceinturons de laine,ceinturons de laine
ceinturons de peau,ceinturons de peau
ceinturons d'Épée,ceinturons d'épée
ceinturons et bandoulières,ceinturons et bandoulières
ceinturons piqués,ceinturons piqués
céleris,céleris
cendaline,cendaline
cendre ???,cendre ???
cendre à houille,cendre à houille
cendre à orfèvre,cendre à orfèvre
cendre baril en pierre,cendre baril en pierre
cendre barille et fonde,cendre barille et fonde
cendre blanche,cendre blanche
cendre broyée à l'huile,cendre broyée à l'huile
cendre d'Angleterre,cendre d'angleterre
cendre de barille,cendre de barille
cendre de bourbe,cendre de bourbe
cendre de Damas,cendre de damas
cendre de fonde,cendre de fonde
cendre de monnaie,cendre de monnaie
cendre de Lion,cendre de lion
cendre de tourbe et de paille,cendre de tourbe et de paille
cendre de toute espèce à engraisser,cendre de toute espèce à engraisser
cendre de vitarch,cendre de vitarch
cendre fonde,cendre fonde
cendre houille,cendre houille
cendre lessives,cendre lessives
cendre menuisée,cendre menuisée
cendre ordinaire,cendre ordinaire
cendre poland,cendre poland
cendre poreuse,cendre poreuse
cendre potasse etc.,cendre potasse etc.
cendre pour verrerie,cendre pour verrerie
cendre salicor,cendre salicor
cendre salins,cendre salins
cendre cassout,cendre cassout
cendre commune de bois,cendre commune de bois
cendre d'Égypte,cendre d'égypte
cendre de griguonia,cendre de griguonia
cendre de natron,cendre de natron
cendre des rois,cendre des rois
cendre de toute espèce,cendre de toute espèce
cendre dite potasse,cendre dite potasse
cendre dite potasse et soudes,cendre dite potasse et soudes
cendre d'os,cendre d'os
cendre frène,cendre frène
cendre gravelée dite védasse,cendre gravelée dite védasse
cendre potasse et védasse,cendre potasse et védasse
cendre potasse védasse etc.,cendre potasse védasse etc.
cendre propre aux manufactures,cendre propre aux manufactures
cendre soudes d'Égypte ou Natrum,cendre soudes d'égypte ou natrum
cendre soudes et potasse,cendre soudes et potasse
cendre tourbe,cendre tourbe
censes à nettoyer les pots,censes à nettoyer les pots
censes de bâtiments,censes de bâtiments
céréales,céréales
cercles à bottes,cercles à bottes
cercles à faire paniers,cercles à faire paniers
cercles à paniers,cercles à paniers
cercles à quarts,cercles à quarts
cercles à tamis dits standrepen,cercles à tamis dits standrepen
cercles à tonneaux en nombre,cercles à tonneaux en nombre
cercles communs,cercles communs
cercles de 10 à 12 pieds,cercles de 10 à 12 pieds
cercles de 12 à 16 pieds,cercles de 12 à 16 pieds
cercles de 7 à 11 pieds,cercles de 7 à 11 pieds
cercles de 8 à 10 pieds,cercles de 8 à 10 pieds
cercles de 9 à 12 pieds,cercles de 9 à 12 pieds
cercles de bois à barriques,cercles de bois à barriques
cercles de bois à bobillons,cercles de bois à bobillons
cercles de bois à quarts,cercles de bois à quarts
cercles de bois à tamis,cercles de bois à tamis
cercles de bois de barriques,cercles de bois de barriques
cercles de bois et osier,cercles de bois et osier
cercles de bois roues,cercles de bois roues
cercles de demitte,cercles de demitte
cercles de douves,cercles de douves
cercles de feuillards,cercles de feuillards
cercles de tamis,cercles de tamis
cercles d'osier,cercles d'osier
cercles en feuillards,cercles en feuillards
cercles en osier,cercles en osier
cercles de faux,cercles de faux
cercles rouelles,cercles rouelles
cercocole,cercocole
cerneaux,cerneaux
cercles et feuillards,cercles et feuillards
chades,chades
chagrin,chagrin
chaînes de montres serties d'or,chaînes de montres serties d'or
chair ???,chair ???
chair,chair
chair boyaux salés,chair boyaux salés
chair cuite,chair cuite
chair de boucherie,chair de boucherie
chair de bœuf à la daube,chair de bœuf à la daube
chair de porcs langues,chair de porcs langues
chair de morue,chair de morue
chair salée cochon salé et petit salé,chair salée cochon salé et petit salé
chair et lard fraîche,chair et lard fraîche
chair et lard salé et enfumé,chair et lard salé et enfumé
chair salée boyaux salés,chair salée boyaux salés
chair salée langues de bœuf salées,chair salée langues de bœuf salées
chair salée ou lard,chair salée ou lard
chair salée salé,chair salée salé
chair salée saucisson,chair salée saucisson
chair choix de bœuf salée,chair choix de bœuf salée
chair cou salé,chair cou salé
chair de porcs en lard,chair de porcs en lard
chair de porcs salés jambon,chair de porcs salés jambon
chair en viande fraîche,chair en viande fraîche
chair et poisson,chair et poisson
chair lard salé,chair lard salé
chair salée bœuf en daube,chair salée bœuf en daube
chair salée cervelas cuisses d'oie et langues,chair salée cervelas cuisses d'oie et langues
chair salée chair de bœuf boyaux salés,chair salée chair de bœuf boyaux salés
chair salée chair de bœuf bœuf salé,chair salée chair de bœuf bœuf salé
chair salée chair de bœuf diverse,chair salée chair de bœuf diverse
chair salée chair de bœuf langues de bœuf,chair salée chair de bœuf langues de bœuf
chair salée chair de porcs diverse,chair salée chair de porcs diverse
chair salée chair de porcs jambon,chair salée chair de porcs jambon
chair salée chair de porcs lard,chair salée chair de porcs lard
chair salée chair de porcs saucissons,chair salée chair de porcs saucissons
chair salée de porcs en langues,chair salée de porcs en langues
chair salée de porcs en tripes,chair salée de porcs en tripes
chair salée diverse bœuf salé,chair salée diverse bœuf salé
chair salée diverse cuisses d'oie,chair salée diverse cuisses d'oie
chair salée diverse jambon,chair salée diverse jambon
chair salée diverse lard,chair salée diverse lard
chair salée diverse porcs salés et petit salé,chair salée diverse porcs salés et petit salé
chair salée en cuisses d'oie,chair salée en cuisses d'oie
chair salée en lard,chair salée en lard
chair salée et fraîche,chair salée et fraîche
chair salée graisse de porcs,chair salée graisse de porcs
chair salée langues de porcs,chair salée langues de porcs
chair salée langues de bœuf,chair salée langues de bœuf
chair salée langues salées,chair salée langues salées
chair salée porcs,chair salée porcs
chair salée porcs salés,chair salée porcs salés
chair salée saumure,chair salée saumure
chair salée tripe marinée,chair salée tripe marinée
chair saucisson,chair saucisson
chair volailles et gibier,chair volailles et gibier
chaises de fer harnais,chaises de fer harnais
chaises d'enfant,chaises d'enfant
chaise garnie de cannes,chaise garnie de cannes
chaise garnie de maroquin,chaise garnie de maroquin
chaises pliantes de cuir de Russie,chaises pliantes de cuir de russie
chaises roulantes vieilles,chaises roulantes vieilles
chaises,chaises
chaises à commodité,chaises à commodité
chaises à deux roues,chaises à deux roues
chaises à fauteuils de rotin,chaises à fauteuils de rotin
chaises à rouler les enfants,chaises à rouler les enfants
chaises de bois de sapin,chaises de bois de sapin
chaises de commodité avec leurs pots de faïence,chaises de commodité avec leurs pots de faïence
chaises de commodité et leurs ???,chaises de commodité et leurs ???
chaises de commodité et pots,chaises de commodité et pots
chaises de commodité garnies de leurs pots,chaises de commodité garnies de leurs pots
chaises de commodité et leurs pots,chaises de commodité et leurs pots
chaises de paille canapé,chaises de paille canapé
chaises de paille et fauteuils,chaises de paille et fauteuils
chaises de paille en chaises,chaises de paille en chaises
chaises de passerame avec leurs harnais,chaises de passerame avec leurs harnais
chaises de poste et harnais,chaises de poste et harnais
chaises de poste de poste,chaises de poste de poste
chaises de poste fauteuils,chaises de poste fauteuils
chaises de rotin de chaises,chaises de rotin de chaises
chaises de rotin fauteuils,chaises de rotin fauteuils
chaises de tapisserie,chaises de tapisserie
chaises en paille,chaises en paille
chaises et cabriolets,chaises et cabriolets
chaises et fauteuils de commodité,chaises et fauteuils de commodité
chaises et fauteuils de paille en fauteuils,chaises et fauteuils de paille en fauteuils
chaises et fauteuils de poste,chaises et fauteuils de poste
chaises et fauteuils en paille,chaises et fauteuils en paille
chaises fauteuils de paille,chaises fauteuils de paille
chaises fauteuils de rotin,chaises fauteuils de rotin
chaises paillées,chaises paillées
chaises pliantes,chaises pliantes
chaises pour enfant,chaises pour enfant
chaises roulantes avec leur train,chaises roulantes avec leur train
chaises roulantes avec leurs harnais,chaises roulantes avec leurs harnais
chaînes de laiton,chaînes de laiton
chalons blancs,chalons blancs
chalons blancs aune,chalons blancs aune
chalons peints,chalons peints
chalons peints aune,chalons peints aune
chalons aune,chalons aune
chalons blancs soufrés,chalons blancs soufrés
chalons blancs soufrés aune,chalons blancs soufrés aune
chaloupe,chaloupe
chambranle de cheminé en marbre,chambranle de cheminé en marbre
chambre d'enfant,chambre d'enfant
chamois,chamois
chamoisure,chamoisure
chamois passé en jaune,chamois passé en jaune
champagne,champagne
champ fleurs,champ fleurs
champheuv,champheuv
champignons marinés,champignons marinés
champignons morilles et mousserons frais,champignons morilles et mousserons frais
champignons morilles et mousserons secs ou marinés,champignons morilles et mousserons secs ou marinés
champignons moussets et mousserons frais,champignons moussets et mousserons frais
champignons moussets et mousserons secs ou marinés,champignons moussets et mousserons secs ou marinés
chandal,chandal
chandeliers de bois,chandeliers de bois
chandeliers de bois de Nuremberg,chandeliers de bois de nuremberg
chandeliers de cuivre argentés,chandeliers de cuivre argentés
chandeliers de fer,chandeliers de fer
chandeliers de laiton,chandeliers de laiton
chandelle à porteur,chandelle à porteur
chandelle de bois,chandelle de bois
chandelle de canne,chandelle de canne
chandelle de commodité,chandelle de commodité
chandelle de jonc,chandelle de jonc
chandelle de paille,chandelle de paille
chandelle de résines,chandelle de résines
chandelle de rotin,chandelle de rotin
chandelle moitié cire,chandelle moitié cire
chandelle roulante,chandelle roulante
chandelle de sperme de baleine,chandelle de sperme de baleine
chandelle moulée,chandelle moulée
changeant,changeant
chanoni,chanoni
chanvre première qualité,chanvre première qualité
chanvre deuxième qualité,chanvre deuxième qualité
chanvre à filer,chanvre à filer
chanvre commun,chanvre commun
chanvre de masse,chanvre de masse
chanvre dit chenevolle,chanvre dit chenevolle
chanvre en rames (c'est à dire du Nord),chanvre en rames (c'est à dire du nord)
chanvre en tiges brutes vertes sèches ou choisies,chanvre en tiges brutes vertes sèches ou choisies
chanvre et lin,chanvre et lin
chanvre fin,chanvre fin
chanvre frisé,chanvre frisé
chanvre ouvré en masses,chanvre ouvré en masses
chanvre ouvré en rames,chanvre ouvré en rames
chanvre ouvré,chanvre ouvré
chanvre préparé,chanvre préparé
chanvre rite de chanvre,chanvre rite de chanvre
chanvre saisir,chanvre saisir
chanvre en ramade,chanvre en ramade
chanvre taillé et étoupes,chanvre taillé et étoupes
chanvre tillé,chanvre tillé
chapeaux poil laine,chapeaux poil laine
chapeaux de feutre unis,chapeaux de feutre unis
chapeaux en castor,chapeaux en castor
chapeaux a bordés,chapeaux a bordés
chapeaux à noirs,chapeaux à noirs
chapeaux à page,chapeaux à page
chapeaux blancs,chapeaux blancs
chapeaux bordés d'or er argent,chapeaux bordés d'or er argent
chapeaux bordés avec éléments,chapeaux bordés avec éléments
chapeaux bordés d'argent,chapeaux bordés d'argent
chapeaux bordés de point d'Espagne,chapeaux bordés de point d'espagne
chapeaux bordés d'or et d'argent,chapeaux bordés d'or et d'argent
chapeaux bordés d'or faux,chapeaux bordés d'or faux
chapeaux bordés en or faux,chapeaux bordés en or faux
chapeaux brodés d'or,chapeaux brodés d'or
chapeaux brodés or et argent,chapeaux brodés or et argent
chapeaux ??? castor,chapeaux ??? castor
chapeaux castor bordés d'argent,chapeaux castor bordés d'argent
chapeaux castor bordés en or,chapeaux castor bordés en or
chapeaux castor noir,chapeaux castor noir
chapeaux castor demi,chapeaux castor demi
chapeaux castor variés divers,chapeaux castor variés divers
chapeaux cirés,chapeaux cirés
chapeaux communs bordés d'or et d'argent faux,chapeaux communs bordés d'or et d'argent faux
chapeaux communs de laine,chapeaux communs de laine
chapeaux communs de paille,chapeaux communs de paille
chapeaux communs de poils ou de laine,chapeaux communs de poils ou de laine
chapeaux de casor,chapeaux de casor
chapeaux de castor bordés d'or,chapeaux de castor bordés d'or
chapeaux de castor brodé,chapeaux de castor brodé
chapeaux de castor fins,chapeaux de castor fins
chapeaux de castor unis,chapeaux de castor unis
chapeaux d'écorce de sparte grossiers,chapeaux d'écorce de sparte grossiers
chapeaux d'écorce de tilleul,chapeaux d'écorce de tilleul
chapeaux d'écorce fins,chapeaux d'écorce fins
chapeaux d'écorce grossiers,chapeaux d'écorce grossiers
chapeaux de crin,chapeaux de crin
chapeaux de demi-castor,chapeaux de demi-castor
chapeaux de demi-castor bords en or,chapeaux de demi-castor bords en or
chapeaux de feutre communs,chapeaux de feutre communs
chapeaux de laine bordés d'or faux,chapeaux de laine bordés d'or faux
chapeaux de laine des prises,chapeaux de laine des prises
chapeaux de laine bordés en faux,chapeaux de laine bordés en faux
chapeaux de laine unis,chapeaux de laine unis
chapeaux demi castor bordés d'or,chapeaux demi castor bordés d'or
chapeaux demi,chapeaux demi
chapeaux d'enfant,chapeaux d'enfant
chapeaux de paille communs,chapeaux de paille communs
chapeaux de paille dits garde-soleils,chapeaux de paille dits garde-soleils
chapeaux de paille façonnés,chapeaux de paille façonnés
chapeaux de paille fins,chapeaux de paille fins
chapeaux de paille d'écorce et de sparte fins et grossiers,chapeaux de paille d'écorce et de sparte fins et grossiers
chapeaux de poil bordés or et argent,chapeaux de poil bordés or et argent
chapeaux de poil et de laine,chapeaux de poil et de laine
chapeaux de taffetas,chapeaux de taffetas
chapeaux de toute sorte,chapeaux de toute sorte
chapeaux de velours,chapeaux de velours
chapeaux d'ourson,chapeaux d'ourson
chapeaux d'osier,chapeaux d'osier
chapeaux en poil,chapeaux en poil
chapeaux en poil et laine,chapeaux en poil et laine
chapeaux en soie,chapeaux en soie
chapeaux en vigogne,chapeaux en vigogne
chapeaux finis,chapeaux finis
chapeaux fins de laine de castor ou de soie,chapeaux fins de laine de castor ou de soie
chapeaux fins de laine et de poil,chapeaux fins de laine et de poil
chapeaux fins de soie,chapeaux fins de soie
chapeaux fins des prises,chapeaux fins des prises
chapeaux garnis,chapeaux garnis
chapeaux gris,chapeaux gris
chapeaux laine des prises,chapeaux laine des prises
chapeaux neufs,chapeaux neufs
chapeaux perle,chapeaux perle
chapeaux poil,chapeaux poil
chapeaux poil de laine,chapeaux poil de laine
chapeaux poil et castor,chapeaux poil et castor
chapeaux pour laine,chapeaux pour laine
chapeaux pour nègre,chapeaux pour nègre
chapeaux sortis,chapeaux sortis
chapeaux unis,chapeaux unis
chapeaux unis demi forme,chapeaux unis demi forme
chapeaux velours,chapeaux velours
chapeaux vieux,chapeaux vieux
chapelets de Jérusalem,chapelets de jérusalem
chapelets communs,chapelets communs
chapelets en bois,chapelets en bois
chapelière de castor,chapelière de castor
chapellerie commune de laine,chapellerie commune de laine
chapellerie commune de poil ou de laine,chapellerie commune de poil ou de laine
chapellerie de feutre fine de laine ou de castor,chapellerie de feutre fine de laine ou de castor
chapellerie de toute sorte,chapellerie de toute sorte
chapellerie en paille et sparterie,chapellerie en paille et sparterie
chapellerie en poil et laine,chapellerie en poil et laine
chapellerie de castor,chapellerie de castor
chapons,chapons
chaquelas,chaquelas
charbon de bois et chènevotte,charbon de bois et chènevotte
charbon de bois et de terre,charbon de bois et de terre
charbon de bois ou de chènevotte en hectolitres,charbon de bois ou de chènevotte en hectolitres
charbon de bois ou de chènevotte en kilogrammes,charbon de bois ou de chènevotte en kilogrammes
charbon de bois ou de chènevotte,charbon de bois ou de chènevotte
charbon de boulanger,charbon de boulanger
charbon de terre à cuire chaux,charbon de terre à cuire chaux
charbon de terre cargo,charbon de terre cargo
charbon de terre grenier,charbon de terre grenier
charbon de terre en tonneaux,charbon de terre en tonneaux
charbon cardier,charbon cardier
charbon de boulanger et braisette,charbon de boulanger et braisette
charbon de terre d'Angleterre,charbon de terre d'angleterre
charbon de terre ou de pierre dit houille,charbon de terre ou de pierre dit houille
charbon houille,charbon houille
charbon terre,charbon terre
chardons de drapiers,chardons de drapiers
charrettes neuvres,charrettes neuvres
charrettes vieilles,charrettes vieilles
chafarcani,chafarcani
chargé,chargé
charge en fer-blanc,charge en fer-blanc
chariots à feu,chariots à feu
chariots,chariots
chariots neufs,chariots neufs
charnière de marbre,charnière de marbre
charonies,charonies
charonin,charonin
charpente,charpente
charpente démontée,charpente démontée
charpie,charpie
charrée,charrée
charrée (cendre de bois lessivée),charrée (cendre de bois lessivée)
chasse-mouches,chasse-mouches
châssis de bois,châssis de bois
châtaigners,châtaigners
châtaignes et marrons,châtaignes et marrons
châtaignes et noix,châtaignes et noix
chateis,chateis
chatons,chatons
chau ???,chau ???
chaud,chaud
chaudière de cuivre à sucre,chaudière de cuivre à sucre
chaudière de cuivre avec sa Serpentine,chaudière de cuivre avec sa serpentine
chaudière de cuivre et ustensiles,chaudière de cuivre et ustensiles
chaudière de cuivre grande,chaudière de cuivre grande
chaudière de cuivre jaune,chaudière de cuivre jaune
chaudière de fer de fonte,chaudière de fer de fonte
chaudière en cuivre,chaudière en cuivre
chaudière,chaudière
chaudière à distiller,chaudière à distiller
chaudière à nègre,chaudière à nègre
chaudière à raffiner,chaudière à raffiner
chaudière de patine,chaudière de patine
chaudière de potier,chaudière de potier
chaudière en marmites de potin,chaudière en marmites de potin
